Participant_Info_Consent.block_1/Consent,participant,session,STUDY_ID,date,expName,psychopyVersion,OS,frameRate,dissent.started,dissent.stopped,Exclusion_Criteria_1.block_1/Mental_health_conditions,exclusion.started,exclusion.stopped,GroupAllocation.started,GroupAllocation.stopped,group,survey_demographics_IU.block_1/Sex,survey_demographics_IU.block_1/Age,survey_demographics_IU.block_1/Education,survey_demographics_IU.block_1/Ethnicity,survey_demographics_IU.block_1/Politics,survey_demographics_IU.block_1/IU_scale.q1,survey_demographics_IU.block_1/IU_scale.q2,survey_demographics_IU.block_1/IU_scale.q3,survey_demographics_IU.block_1/IU_scale.q4,survey_demographics_IU.block_1/IU_scale.q5,survey_demographics_IU.block_1/IU_scale.q6,survey_demographics_IU.block_1/IU_scale.q7,survey_demographics_IU.block_1/IU_scale.q8,survey_demographics_IU.block_1/IU_scale.q9,survey_demographics_IU.block_1/IU_scale.q10,survey_demographics_IU.block_1/IU_scale.q11,survey_demographics_IU.block_1/IU_scale.q12,Instructions.started,Instructions.stopped,Example.started,Example.stopped,Trials.started,Trials.stopped,Score,RT,response.x,response.y,response.leftButton,response.midButton,response.rightButton,response.clicked_name,Feedback.started,Feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,rule,card,corrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,useRows,Scenarios.block_1/Expert Panel,Scenarios.block_1/Team Tension,Scenarios.block_1/Networking Gaffe,Scenarios.block_1/Viral Oversight,Scenarios.block_1/question16,ProgressBar.started,ProgressBar.stopped,feedback_14.started,feedback_14.stopped,press_spacebar.keys,press_spacebar.rt,press_spacebar.duration,show_feedback_low.thisRepN,show_feedback_low.thisTrialN,show_feedback_low.thisN,show_feedback_low.thisIndex,show_feedback_low.ran,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_1,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_2,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_3,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_4,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_5,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_6,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_7,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_8,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_9,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_10,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_11,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_14,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_15,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_13,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_16,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_17,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_18,ETMS_survey_end.block_1/Feedback check.Q1,ETMS_survey_end.block_1/Feedback check.Q3,ETMS_survey_end.block_1/Feedback check.Q2,ETMS_survey_end.block_1/StudyPurpose,ETMS_survey_end.block_1/WereYouEvaluated,ETMS_survey_end.block_1/Feedback_interpretation,ETMS_survey_end.block_1/Suspicious,ETMS_survey_end.block_1/Disclosure,ETMS_survey_end.block_1/Data use,End.started,End.stopped
1,5fb332c4fa4c00a595c24619,6aa21641de2a021e0ba10fa4,6aa09bb296af1050f055ee3b,2026-09-10_14h32.49.956,Reading the Room,2026.1.3,Win32,60.97560976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5fb332c4fa4c00a595c24619,6aa21641de2a021e0ba10fa4,6aa09bb296af1050f055ee3b,2026-09-10_14h32.49.956,Reading the Room,2026.1.3,Win32,60.97560976,118.5712,118.5904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5fb332c4fa4c00a595c24619,6aa21641de2a021e0ba10fa4,6aa09bb296af1050f055ee3b,2026-09-10_14h32.49.956,Reading the Room,2026.1.3,Win32,60.97560976,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5fb332c4fa4c00a595c24619,6aa21641de2a021e0ba10fa4,6aa09bb296af1050f055ee3b,2026-09-10_14h32.49.956,Reading the Room,2026.1.3,Win32,60.97560976,,,,137.7281,137.7302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5fb332c4fa4c00a595c24619,28,6aa09bb296af1050f055ee3b,2026-09-10_14h32.49.956,Reading the Room,2026.1.3,Win32,60.97560976,,,,,,139.1399,139.1402,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5fb332c4fa4c00a595c24619,28,6aa09bb296af1050f055ee3b,2026-09-10_14h32.49.956,Reading the Room,2026.1.3,Win32,60.97560976,,,,,,,,1,2,66,4,4,2,0,2,3,0,2,2,3,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5fb332c4fa4c00a595c24619,28,6aa09bb296af1050f055ee3b,2026-09-10_14h32.49.956,Reading the Room,2026.1.3,Win32,60.97560976,,,,,,,,1,,,,,,,,,,,,,,,,,,441.4825,499.2591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5fb332c4fa4c00a595c24619,28,6aa09bb296af1050f055ee3b,2026-09-10_14h32.49.956,Reading the Room,2026.1.3,Win32,60.97560976,,,,,,,,1,,,,,,,,,,,,,,,,,,,,499.2594,529.5151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5fb332c4fa4c00a595c24619,28,6aa09bb296af1050f055ee3b,2026-09-10_14h32.49.956,Reading the Room,2026.1.3,Win32,60.97560976,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,529.5576,536.737,0,7179,-0.154285714,0.193333333,1,0,0,two_yellow_triangles,536.7381,537.7372,0,0,0,3,1,number,images/1blueTriangle.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5fb332c4fa4c00a595c24619,28,6aa09bb296af1050f055ee3b,2026-09-10_14h32.49.956,Reading the Room,2026.1.3,Win32,60.97560976,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,537.7385,540.8393,1,3101,0.363809524,0.23047619,1,0,0,four_blue_stars,540.8404,541.84,0,1,1,51,1,number,images/4blueTriangles.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5fb332c4fa4c00a595c24619,28,6aa09bb296af1050f055ee3b,2026-09-10_14h32.49.956,Reading the Room,2026.1.3,Win32,60.97560976,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,541.8411,545.643,1,3802,0.117142857,0.234285714,1,0,0,three_green_crosses,545.6433,546.6436,0,2,2,45,1,number,images/3yellowDots.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5fb332c4fa4c00a595c24619,28,6aa09bb296af1050f055ee3b,2026-09-10_14h32.49.956,Reading the Room,2026.1.3,Win32,60.97560976,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,546.6445,549.8795,1,3235,-0.09047619,0.228571429,1,0,0,two_yellow_triangles,549.8796,550.8802,0,3,3,21,1,number,images/2greenDots.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5fb332c4fa4c00a595c24619,28,6aa09bb296af1050f055ee3b,2026-09-10_14h32.49.956,Reading the Room,2026.1.3,Win32,60.97560976,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,550.8813,553.866,1,2985,0.323809524,0.217142857,1,0,0,four_blue_stars,553.8663,554.8666,0,4,4,56,1,number,images/4redCrosses.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
